기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량,인덱스,키워드추출
써로마인드,경력2년↑,-," 서울특별시 관악구 남부순환로 1802 2층 (봉천동,관악캠퍼스타워)   ",딥러닝,"빅데이터·AI(인공지능), 웹프로그래머, 웹디자인","


(주)써로마인드  각 부문별 모집 공고 - 인크루트 채용

















 







",604,[]
클라리파이,경력1년↑,-," 서울특별시 종로구 이화장1길 11 2~4층(이화동,영광빌딩B동) ",딥러닝,"마케팅, 영업기획, 영업관리·영업지원","


[클라리파이] 국내영업팀 모집 - 인크루트 채용
















[클라리파이] 국내영업팀 모집
(서브텍스트)
회사소개

                                                                              글로벌 스타트업인 ㈜클라리파이는 2015년에 설립된 회사로,                                                                   ",605,[]
세미브레인,신입/경력(연차무관),-, 서울특별시 강남구 역삼로 169 4층 A호실 ,딥러닝,"ERP·시스템분석·설계, 일반사무·사무지원, 시스템프로그래머","


IC  Design Engineer 외  신입/경력 채용 - 인크루트 채용
















우리 회사를 한 줄로 표현해주세요
우리 회사에 대해 4줄 이내로 소개해주세요
SoC/Neuromorphic/Admin 신입/경력 채용
세미브레인(주)




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




IC Design  Engineer[담당업무]- Custom memory circuit design - Mixed",606,[]
커리어앤스카우트,경력8년↑,-,서울 영등포구 여의도동 35-4 한국화재보험협회빌딩 15층,딥러닝,빅데이터·AI(인공지능),"


국내 물류 대기업 Data Scientist 경력직 채용 - 인크루트 채용
















(주)커리어앤스카우트
국내 물류 대기업 Data Scientist 경력직 채용




모집부문 및 자격요건






담당업무
자격요건
인원




1. (대용량) 데이터 탐색 기반 분석 모델 구축 및 검증- 상품 수요 예측(고객/상품/물량/SKY별/합포/단포) 기반 새벽 및 당일 배송 전략 수립 경험- 주문 변동성 고려한 Wave Control",607,"['데이터', 'Data', '분석']"
포티투닷 주식회사,경력(연차무관),-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층 ",딥러닝,빅데이터·AI(인공지능),"


Deep Learning Engineer (음성 합성 TTS 연구/개발) - 인크루트 채용













We are looking for the bestSpeech 팀은 차량 안에서 사용자가 보다 편하게 차량과 소통할 수 있는 음성기술을 개발합니다. 42dot의 음성합성 기술은 주어진 텍스트를 보다 자연스럽고 명료한 소리로 전달하여, 차량으로부터의 다양한 피드백을 사용자가 화면을 보지 않고도 이해하고 소통할 수 있도록 돕습니다.책임 (R",608,[]
커리어앤스카우트,경력3~5년,-,서울 영등포구 여의도동 35-4 한국화재보험협회빌딩 15층,딥러닝,"응용프로그래머, 빅데이터·AI(인공지능)","


[외국계] 스마트 물류솔루션전문기업 머신러닝(NLP) 엔지니어 경력직 - 인크루트 채용
















우리 회사를 한 줄로 표현해주세요
우리 회사에 대해 4줄 이내로 소개해주세요
(주)커리어앤스카우트
[외국계] 스마트 물류솔루션전문기업 머신러닝(NLP) 엔지니어 경력직




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




머신러닝(NLP)             엔지니어

[담당업무]-NLP 기술을 활용하",609,"['엔지니어', '머신러닝']"
주식회사 경연파트너스,경력(연차무관),-," 서울특별시 금천구 디지털로9길 46 (가산동,이앤씨드림타워7차) ",딥러닝,"웹프로그래머, 빅데이터·AI(인공지능)","


애드테크 스타트업 디지털광고플랫폼 개발자 모집 - 인크루트 채용
















KY컨설팅그룹
애드테크 스타트업 디지털광고플랫폼 개발자 모집



모집부문 및 자격요건






담당업무
자격요건
인원





- 광고 서버, API 서버 등의 대용량/대규모 트래픽 서버 개발- DL/ML을 활용한 광고 사기 추적/방지, 운영 자동화 시스템 개발- 국내 / 글로벌 파트너사와의 협업을 위한 연동 및 커뮤니케이션- 운영 및 인사이트를 제공하",610,['시스템']
주식회사 경연파트너스,경력3~10년,-," 서울특별시 금천구 디지털로9길 46 (가산동,이앤씨드림타워7차) ",딥러닝,"웹프로그래머, 빅데이터·AI(인공지능)","


스타트업 커머셜 서비스 서버/프론트 개발자 모집 - 인크루트 채용
















KY컨설팅그룹
스타트업 커머셜 서비스 서버/프론트 개발자 모집



모집부문 및 자격요건






담당업무
자격요건
인원




- 신규서비스 개발- 정해진 Language / Framework이 없어 자유로운 선택이 가능- 기획 및 즉각적인 요청사항의 반영- Front End 및 Server REST 주도적 개발- 기초적인 DB Schema 설계 및 ",611,['설계']
딥인스펙션,경력4년↑,"3,500~4,000"," 서울특별시 송파구 법원로11길 25 A동 1313호 (문정동,에이치비지니스파크) ",딥러닝,"웹프로그래머, 데이터베이스·DBA","


웹서비스 개발자 채용(백엔드, Java, Spring 등)(서울근무) - 인크루트 채용
















우리회사의 자랑거리를 #태그로 표현해보세요
㈜딥인스펙션은 인공지능 영상처리 전문 벤처기업으로 과기정통부 연구소 기업이며 한국전자통신연구원으로부터 딥러닝 고속화 기술을 이전받아 활용중인 중소기업입니다. 서울 송파구 법원로11길 25 (문정동, 에이치비지니스파크)에 위치하고 있으며, 소프트웨어 개발 및 판매 / 엔지니어링 서비스 / 내진",612,"['영상처리', '인공지능', '딥러닝']"
웨슬리퀘스트,경력2년↑,-," 서울특별시 서대문구 충정로 53 (충정로2가,골든타워빌딩) 9층 ",딥러닝,빅데이터·AI(인공지능),"


2024 (주)웨슬리퀘스트 데이터 비즈니스 경력직 채용 모집 - 인크루트 채용













      2024 (주)웨슬리퀘스트  데이터 비즈니스 경력직 채용 



00










",613,['데이터']
딥인스펙션,신입/경력(연차무관),"2,800~3,500"," 서울특별시 송파구 법원로11길 25 A동 1313호 (문정동,에이치비지니스파크) ",딥러닝,"경영·기획·전략, 재무·자금·IR, 경리","


(주)딥인스펙션  경영기획부 팀원채용 - 인크루트 채용
















㈜딥인스펙션은 인공지능 영상처리 전문 벤처기업으로 과기정통부 연구소 기업이며 한국전자통신연구원으로부터 딥러닝 고속화 기술을 이전받아 활용중인 중소기업입니다. 서울 송파구 법원로11길 25 (문정동, 에이치비지니스파크)에 위치하고 있으며, 소프트웨어 개발 및 판매 / 엔지니어링 서비스 / 내진설계 및 내진장치 판매 / R&D사업을 하고 있습니다. (과기부장관상 수상,",614,"['영상처리', '인공지능', '딥러닝']"
딥인스펙션,경력4년↑,"3,500~4,000"," 서울특별시 송파구 법원로11길 25 A동 1313호 (문정동,에이치비지니스파크) ",딥러닝,"웹프로그래머, 데이터베이스·DBA, HTML·퍼블리싱·UI개발","


웹서비스 개발자 (프론트엔드, JSP/Java, React, Figma, Spring 등)(서울근무) - 인크루트 채용
















우리회사의 자랑거리를 #태그로 표현해보세요
㈜딥인스펙션은 인공지능 영상처리 전문 벤처기업으로 과기정통부 연구소 기업이며 한국전자통신연구원으로부터 딥러닝 고속화 기술을 이전받아 활용중인 중소기업입니다. 서울 송파구 법원로11길 25 (문정동, 에이치비지니스파크)에 위치하고 있으며, 소프트웨어 개발 및 판",615,"['영상처리', '인공지능', '딥러닝']"
삼정KPMG그룹,경력2년↑,-, 서울특별시 강남구 테헤란로 152 강남파이낸스센터 27층 ,딥러닝,"ERP·시스템분석·설계, 응용프로그래머","


AI Solution 서버 개발자 경력직 채용 - 인크루트 채용













우리 회사를 한 줄로 표현해주세요삼정KPMG그룹AI Solution 서버 개발자 경력직 채용Lighthouse는 Global KPMG150여 개국의 네트워크로 구성된 개발 및 서비스 조직 입니다.Lighthouse Korea는 머신러닝 엔지니어 및 서비스 개발자들이 모여 금융 분야에서의 새로운 기술적용을 이끌고 있습니다.특히, 자체적으로 학습시킨 Finance ",616,"['엔지니어', '머신러닝', 'AI']"
프로매치코리아,경력(연차무관),-," 서울특별시 강남구 테헤란로 333 10층 (역삼동,신도벤처타워) ",딥러닝,"경영·기획·전략, 응용프로그래머, 빅데이터·AI(인공지능)","


상장 금융지주 계열 기술원의 전략기획,자연어처리 NLP 연구 과차장급 3명 - 인크루트 채용













[등록일 : 01.12] - 미 채용시 최대 2개월까지 진행(지원전 사전에 문자나 이메일주소 부탁-지원서 발송건)* 연 단위로 이직횟수 많은 분은 지원 불가, 반드시 경력 매치되는 분만 지원 요망000금융지주 IT계열 종합기술원 채용건입니다. 그룹  총자산 4,536억원, 매출액 2,829억원, 영업익 89억원, 직원 수 1,014명",617,[]
뷰런테크놀로지,신입/경력(연차무관),-," 서울특별시 서초구 강남대로 311 (서초동,한화생명보험빌딩) ",딥러닝,빅데이터·AI(인공지능),"


[Vueron] SLAM Engineer - 인크루트 채용
















(주)뷰런테크놀로지
[Vueron] SLAM Engineer



모집부문 및 자격요건






모집부문
담당업무
자격요건
인원




SLAM Engineer

[담당업무]업무내용-	자율주행을 위한 LiDAR를 기반 SLAM 알고리즘 개발-	LiDAR를 기반으로 한 위치인지 알고리즘 개발-	자격요건-   관련분야 (컴퓨터공학, 전기전자공학 등) 석사 학위자 ",618,"['컴퓨터공학', '석사', '알고리즘']"
뷰런테크놀로지,경력1년↑,-," 서울특별시 서초구 강남대로 311 (서초동,한화생명보험빌딩) ",딥러닝,빅데이터·AI(인공지능),"


[Vueron] Application Engineer - 인크루트 채용















(주)뷰런테크놀로지
[Vueron]Application Engineer



모집부문 및 자격요건






모집부문
담당업무
자격요건
인원




FAE

[담당업무]업무내용-    고객 현장의 초기 대응을 통한 전문적인 맞춤 솔루션 제공 (국내외 출장 비중 20~40%)-     제품의 성능 개선 및 이슈 해결을 위한 데이터 분석 및 연구개발팀 커",619,"['데이터', '분석']"
NH투자증권,경력2년↑,-, 서울특별시 영등포구 여의대로 60 (여의도동) ,딥러닝,빅데이터·AI(인공지능),"


[경력직 채용] 빅데이터센터 Data Scientist - 인크루트 채용













[경력직 채용] 빅데이터센터 Data Scientist
 
 






",620,['Data']
크라우드웍스,경력2년↑,-," 서울특별시 강남구 테헤란로 309 5층 (역삼동,삼성제일빌딩) ",딥러닝,빅데이터·AI(인공지능),"


[크라우드웍스] Frontend Engineer (ML Service) - 인크루트 채용




















",621,[]
크라우드웍스,경력(연차무관),-," 서울특별시 강남구 테헤란로 309 5층 (역삼동,삼성제일빌딩) ",딥러닝,빅데이터·AI(인공지능),"


[크라우드웍스] NLP 엔지니어 (상시) - 인크루트 채용




















",622,['엔지니어']
휴먼인써치,경력7년↑,-," 경기도 용인시 기흥구 흥덕2로87번길 18 (영덕동,이씨티) B동 4층 409호 ",딥러닝,"데이터베이스·DBA, 빅데이터·AI(인공지능), ERP·시스템분석·설계","


[금융대기업계열사] Data Scientist 경력직 채용 - 인크루트 채용
















[금융대기업계열사] Data Scientist 경력직 채용




모집부문 및 자격요건






모집부문
담당업무
자격요건
인원




Data Scientist 경력직
[담당업무]- Data Mining / Machine Learning / Deep Learning 기술을 활용한 그룹사 서비스의 확장과 새로운 가치 발굴- 그룹사의 데이터 관",623,"['데이터', 'Data']"
피플워크,경력5~20년,-," 서울특별시 강남구 강남대로 310 1901호(역삼동,유니온센터오피스텔) ",딥러닝,빅데이터·AI(인공지능),"


[대기업] AI 엔지니어(4-20년) 0명 채용 - 인크루트 채용













공통 자격요건ㆍ학력 : 대졸 이상 (4년)ㆍ나이/성별 : 무관AI 전략	 0명담당업무ㆍ[대기업] AI 엔지니어(4-20년) 0명 채용1)  AI 기반 기술 개발 및 서비스 적용 경험    - ML/DL 기술에 대한 insight 보유자 선호    - Tool(scikit-learn/Tensorflow 등) 구현 능숙자2) 마켓 및 사용자 중심 사고 : 전략, ",624,"['엔지니어', 'AI']"
파워에이치알,경력1~10년,-, 서울 강남구 테헤란로78길 14-9 원일 (대치동) ,딥러닝,빅데이터·AI(인공지능),"


[주요 SI업체] 컴퓨터비전 AI 엔지니어(석사이상) - 인크루트 채용













[포지션] - 컴퓨터비전 AI담당[자격조건]- Data science, AI, 통계학, 수학 등 유관 학과 전공하신 분- python, C/C++ 프로그래밍 언어가 가능하고, Tensorflow, Pytorch 등 다양한 Framework 경험이 있으신 분- Computer Vision과 ML(Machine Learning)/DL(Deep Learning",625,"['AI', 'Data', '엔지니어', 'C', 'python']"
피플워크,경력5~10년,-," 서울특별시 강남구 강남대로 310 1901호(역삼동,유니온센터오피스텔) ",딥러닝,"빅데이터·AI(인공지능), 경영·기획·전략","


AI 기술전략 및 신기술 기반의 BM 발굴/기획(4-10년) - 인크루트 채용













AI 전략 0명담당업무AI 전략- AI 기술전략 및 신기술 기반의 BM 발굴/기획(4-10년)■ 업무- AI/빅데이터 기반 서비스 전략 수립- AI 활용 상품/서비스 기획 및 사업모델 개발- 복합 프로젝트(AI/Big Data/Cloud 등)  전략 수립 업무 수행 통합 PM역할■ 지원자격- 학력 : 학사 이상- 직무경험/스펙지원절차: 첨부한 워드",626,"['프로젝트', '학사', 'AI', 'Data']"
무스마,경력(연차무관),-, 부산광역시 수영구 망미번영로52번길 3 (수영동) (주)무스마 ,딥러닝,"ERP·시스템분석·설계, 시스템프로그래머, 응용프로그래머","


[MUSMA] AI(Edge) 개발자 경력직 채용공고(서울 근무) - 인크루트 채용




















",627,['AI']
카이어,신입/경력10년미만,-," 서울특별시 서초구 매헌로8길 39 E동 302호 (양재동,희경빌딩) ",딥러닝,"응용프로그래머, 빅데이터·AI(인공지능)","


인공지능 솔루션 (AI Solution) 개발 - 인크루트 채용
















㈜카이어
인공지능 솔루션 (AI Solution) 개발




모집부문 및 자격요건






담당업무
자격요건
인원





[담당업무]• Windows/Web 기반의 Deep Learning Solution Front-end 개발• Windows/Web 기반의 C/C++ Deep Learning Inference Library 개발[근무부서 및 직급/직",628,"['C', '인공지능', 'AI']"
온리원파트너스,경력5년↑,-," 서울특별시 성동구 아차산로17길 57 12층, 1201호(성수동2가,일신건영휴먼테코) ",딥러닝,"데이터베이스·DBA, ERP·시스템분석·설계, 빅데이터·AI(인공지능)","


[유통대기업] Data Scientist(데이터 사이언티스트) 채용 - 인크루트 채용
















온리원파트너스(주)[유통대기업]Data Scientist(데이터 사이언티스트) 채용





모집부문 및 자격요건
담당업무자격요건인원[근무부서 및 채용부문]- 데이터분석팀- Data Scientist(데이터 사이언티스트)[담당업무]- 비즈니스의 요구사항에 맞춘 데이터 분석 설계 및 수행- 데이터 분석 결과 기반 비즈니스 인사이트 도출 ",629,"['데이터', 'Data', '분석', '설계']"
에이치엘비파트너스,경력4~15년,-," 서울특별시 강서구 공항대로 219 808호 (마곡동,센테니아빌딩) ",딥러닝,"데이터베이스·DBA, 빅데이터·AI(인공지능)","


[국내 물류 대기업] AI 데이터사이언티스트(5~15년 차) 경력자 모집 - 인크루트 채용













국내 물류 대기업에서 AI 데이터사이언티스트(5 ~ 15년 차) 경력자를 모십니다.
 
1. Position : AI 데이터사이언티스트
 
2. 경력연차 및 직급 : 5 ~ 15년 차
 
3. 수행예정업무
 ●     
 AI 분석과제 발굴 및 정의
 ‐      
 유관 부서와 협업을 통한 개선 과제 발굴
 ‐      
 Da",630,"['경력자', 'AI']"
아이아이에스티,경력3년미만,-," 서울특별시 금천구 디지털로10길 78 1004호 (가산동,가산테라타워) ",딥러닝,"응용프로그래머, 빅데이터·AI(인공지능), 소프트웨어·하드웨어","


인공지능(AI), Python 프로그래머 신입 및  경력  채용 - 인크루트 채용

















우리 회사를 한 줄로 표현해주세요
인공지능 CCTV로 재난과 보안을 하나로..
(주)아이아이에스티
인공지능(AI), Python 프로그래머 신입 및  경력  채용




모집부문 및 자격요건









담당업무
자격요건
인원





[담당업무]GPU가 탑재된 인공지능  CCTV에서 알고리즘 개발 CCTV연동된 서버에서 응용소프트웨",631,"['인공지능', 'AI', '알고리즘', 'Python']"
한국정보기술단,경력(연차무관),-, 경기도 과천시 뒷골2로 66-1 (과천동) ,딥러닝,"빅데이터·AI(인공지능), 데이터베이스·DBA, 응용프로그래머","


데이터표준품질부문 경력채용 - 인크루트 채용
















(주)한국정보기술단
데이터표준품질부문 경력채용 (정규직)
우리회사의 자랑거리를 #태그로 표현해보세요




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




데이터

[담당업무]공공기관 데이터 표준 품질 업무(가) 데이터 사업 수행 경력 최소 3년 이상 + PM 수행경험 보유(나) 데이터관리체계 구축 컨설팅, 데이터 표준 수립, 데이터 품질진단, 데",632,['데이터']
코가로보틱스,신입/경력(연차무관),-," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)    ",딥러닝,"빅데이터·AI(인공지능), 소프트웨어·하드웨어","


[기술연구소] 실내자율주행 선행 알고리즘 연구 및 개발자 모집 - 인크루트 채용




















",633,['알고리즘']
코가로보틱스,신입/경력(연차무관),-," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)    ",딥러닝,"빅데이터·AI(인공지능), 소프트웨어·하드웨어","


[기술개발팀] 자율주행 로봇시스템 개발자 모집 - 인크루트 채용




















",634,['자율주행']
코가로보틱스,신입/경력(연차무관),-," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)    ",딥러닝,"빅데이터·AI(인공지능), 소프트웨어·하드웨어","


[기술개발팀] 실내자율주행 알고리즘 개발자 모집 - 인크루트 채용




















",635,['알고리즘']
쉬모스랩,경력(연차무관),-, 서울특별시 강남구 논현로26길 21 3층 (도곡동) ,딥러닝,"응용프로그래머, 데이터베이스·DBA, 빅데이터·AI(인공지능)","


인공지능(AI), 머신러닝(ML) 외 경력  채용 - 인크루트 채용













(주)쉬모스랩인공지능(AI), 머신러닝(ML) 외 경력  채용우리 회사를 한 줄로 표현해주세요우리 회사에 대해 4줄 이내로 소개해주세요

모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




풀스택엔지니어[담당업무]1. 기술개발, 기술서비스 제품 개발, 기술지원2. 이미지분할 알고리즘  연구개발3. 응용서비스 애플리케이션 개발4. 백엔",636,"['머신러닝', '인공지능', 'AI', '알고리즘']"
스펠릭스,경력5~10년,-," 서울 영등포구 선유로9길 10 1601호 (문래동6가,문래 에스케이브이원센터) ",딥러닝,"빅데이터·AI(인공지능), 응용프로그래머, 데이터베이스·DBA","


인공지능 AI 개발자 정규직 경력 채용 - 인크루트 채용




















",637,"['인공지능', 'AI']"
유어사이드,경력3년↑,-, 서울특별시 광진구 능동로 329 (중곡동) 2층 ,딥러닝,"응용프로그래머, ERP·시스템분석·설계, 웹디자인","


윈도우개발 경력직(3년이상) 채용 / 의료인공지능 솔루션업체 - 인크루트 채용
















윈도우개발 경력 (3년이상) 정규직 채용
서치펌 유어사이드(주)




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




윈도우 개발

[회사소개]- 의료인공지능 솔루션 업체[담당업무]- Deep Learning 모델을 기반으로 Windows용 의료 SW를 개발합니다.- 다양한 요구사항을 반영한 UI/UX 설계에 함",638,[]
스펠릭스,경력5~10년,-," 서울 영등포구 선유로9길 10 1601호 (문래동6가,문래 에스케이브이원센터) ",딥러닝,"빅데이터·AI(인공지능), 데이터베이스·DBA, ERP·시스템분석·설계","


데이터 엔지니어 정규직 경력 채용 - 인크루트 채용




















",639,"['데이터', '엔지니어']"
스마트디아그노시스,신입/경력3~20년,-," 서울 마포구 성암로 189 806호 (상암동,중소기업중앙회) ",딥러닝,"웹프로그래머, 응용프로그래머, 빅데이터·AI(인공지능)","


웹개발, JAVA 외 신입/경력 정규직, 병역특례 채용 - 인크루트 채용

















세계 최초 얼굴 인식 및 시선 추적 기반 온라인(비대면) 시험 부정행위 자동 감지 솔루션 개발 사이며, 대학, 협회(자격증), 공공기관, 국내 대기업의 비대면 채용 시험/직무 역량 평가/자격증 온라인 필기 시험 등에 당사 솔루션의 니즈가 확대되고 있으며, 국내 시장 검증을 바탕으로 글로벌 시장으로 확장할 계획을 갖고 있습니다.  포스트 코로나 시",640,['자격증']
벤처피플,경력5~12년,-, 서울특별시 강남구 테헤란로87길 36 2305호 ,딥러닝,"빅데이터·AI(인공지능), ERP·시스템분석·설계, 컨텐츠·사이트운영","


[ 대기업 ] 빅데이터 플랫폼 엔지니어 (Data Engineer) - 인크루트 채용















(주)벤처피플 [ 대기업 ] 빅데이터 플랫폼  엔지니어 (Data Engineer) 모집부문 및 자격요건






담당업무
자격요건
인원




[ 대용량 분석 플랫폼 상에서의 데이터 수집/가공 및 분석시스템 구현 ]- 분석 프레임워크를 활용한 AI 시스템 구현- 빅데이터 분석 스크립트 개발- 데이터 ETL(Extract, Transf",641,"['시스템', 'AI', '분석', '엔지니어', 'Data', '데이터']"
KSC&C,신입/경력(연차무관),-, 서울특별시 영등포구 양평동3가 46번지 이앤씨드림타워 409호 ,딥러닝,"빅데이터·AI(인공지능), 응용프로그래머, ERP·시스템분석·설계, 웹프로그래머, HTML·퍼블리싱·UI개발","


AI기반 업무자동화(RPA) 구현 개발자 채용 [신입] - 인크루트 채용














 


[케이에스씨앤씨] [신입] AI 기반 업무자동화(RPA) 구현 개발자 채용
(서브텍스트)
    회사소개
  



 

모집부문 및 자격요건






구분
담당업무
자격요건
인원


AI 기반
	            업무자동화(RPA)
	            개발자 채용
	            (UiPath 우대)

RPA(UiPa",642,['AI']
주식회사 딥브레인에이아이,경력6년↑,-, 서울특별시 강남구 역삼로7길 6 성룡빌딩 ,딥러닝,"웹프로그래머, 응용프로그래머, 빅데이터·AI(인공지능)","


[인공지능기업] 풀스택 개발자 (경력) - 인크루트 채용















주식회사 머니브레인
[인공지능기업] 풀스택 개발자 (경력)



모집부문 및 자격요건






담당업무
자격요건
인원





[담당업무]- 인공지능 대화 앱 개발- 대화형 인공지능 플랫폼 빌더 개발- 전체 개발 프로젝트 리드   · Front-End 개발 (React.js / React.Native)   · Back-End 개발 (Node.js / Java / ",643,"['프로젝트', '인공지능']"
한국폴리텍대학 성남캠퍼스,신입/경력(연차무관),-, 경기 성남시 수정구 수정로 398 (산성동)    ,딥러닝,"연구원·연구개발, 기술영업, 바이오·식품공학, 빅데이터·AI(인공지능), 응용프로그래머, ERP·시스템분석·설계, 전자·반도체, 네트워크·서버·보안, 게임(Game), 소프트웨어·하드웨어","


[전액무료] 하이테크 과정 교육생  2차 모집 - 인크루트 채용























T E C . 
별 . 성남폴리텍 하이테크과정 
L , 
? 
, 
 한국폴리텍대학 
X 성남캠퍼스 
청년 취업 프로그램 
AI 
취업률 
% 
하이테크과정이란? 전형일정 
고학력 청년 실업난 해결을 위해 만든 융합형 기술과정으로 
합격자 발표 및 
과정 차수 원서접수 면접 
4차 산업혁명 시대 핵심기술과 미래 신산",644,"['C', 'AI']"
나노융합산업연구조합,신입/경력(연차무관),-,서울 서초구 우면동 66-2 세신우면종합상가 408,딥러닝,"빅데이터·AI(인공지능), 응용프로그래머, ERP·시스템분석·설계, 전산·IT기술지원, 생산·조립·가공·포장·검품, 생산관리, 바이오·식품공학","


(재직자/무료) 소재/부품 분야 재직자 AI 역량 강화 교육생 모집 - 인크루트 채용














소재·소품 분야 AI 적용을 위한 전문교육 신규 교육생 모집

















",645,['AI']
SK플래닛 Tacademy,신입/경력(연차무관),-,"경기도 성남시 분당구 판교로 264 (삼평동,sk플래닛판교사옥)",딥러닝,"빅데이터·AI(인공지능), ERP·시스템분석·설계, 데이터베이스·DBA, 응용프로그래머, IT·문화·직업강사, 시스템프로그래머, 웹프로그래머, 네트워크·서버·보안, HTML·퍼블리싱·UI개발","


SK플래닛 T아카데미 ASAC 5기 교육생 모집 - 인크루트 채용





















 

 

  



 

SK planet Tacademy 고용노동부 대한상공회의소 
자세히 보기 
T아카데미 OR 
ASAC 5기 
교육생 모집 
빅데이터 분석가 과정 웹풀스택 개발자 과정 
~ 2월 25일(일)까지 
교육기간 24/3/20(수) ~ 24/9/11(수) 
교육장소 서울시 마포구 (공덕역 인근) 
교육신청 T",646,[]
 실리콘스튜디오코리아,신입/경력(연차무관),-, 서울특별시 송파구 송파대로 201 송파 테라타워2 A동 1301호 ,딥러닝,"응용프로그래머, 네트워크·서버·보안, 빅데이터·AI(인공지능), ERP·시스템분석·설계, 웹프로그래머, 건축·공간·CAD·CAM디자인","


2024년 상반기 실리콘스튜디오코리아 부문별 채용[가상현실 엔지니어,AI 엔지니어] - 인크루트 채용













 

2024년 상반기 실리콘스튜디오코리아 부문별 채용




 

모집부문







모집분야
담당업무
자격요건
근무지




가상현실 엔지니어
가상현실 시스템 관련유지관리 및 기술지원시스템 모니터링 및 장애대응솔루션 구축 현장 관리 및 고객 기술지원

학력: 고졸 이상 
경력: 신입/경력
원활한 대인관계 및 커뮤니케이션",647,"['엔지니어', '시스템', 'AI']"
베스텔라랩,경력 2~15년,회사내규에 따름,대구 동구 동대구로 465 대구스케일업허브,자율주행,"• 자율주행차량 제어 프로그램 개발
• 자사 측위 알고리즘 개선 및 엔진 고도화
• 라이다, 카메라, BLE 등의 다양한 이동체 탑재 센서 기반 측위 알고리즘 개발
• 새로운 기술개발 R&D 사업 기획, 시장 조사","[Spring FrameworkGitRiOSROSC++AWSPythonSQL, • 통계 및 수학 전공자\n• 센서 및 GPS 신호분석, 응용 알고리즘 개발 이해도 보유\n• Embedded SW개발 (C / C++)\n• 데이터 분석 (Matlab 또는 python)\n• ROS에 대한 이해\n• 측위기술 과제 경험, Embedded 시스템 구현경험\n• 머신러닝기반 알고리즘 개발 경험\n• 자율주행 시스템의 전반적인 구조에 대한 이해\n• SLA",648,"['시스템', '알고리즘', '분석', '전공자', '자율주행', 'Embedded', '데이터', 'C', 'python']"
긴트,경력 2~9년,회사내규에 따름,경기 성남시 분당구 판교로228번길 17 4층 긴트,자율주행,"• 농기계 자율주행 및 AI 관련 해외 논문 조사 및 요약
• 농경지 자율주행을 위한 전역/지역 경로 생성 알고리즘 개발
• 경로 추종 제어 알고리즘 개발
• 농기계 위치/자세/주행 상태를 추정하는 센서 퓨전 알고리즘 개발
• 농기계 주행 상황에서 센서 노이즈 제거 시스템 개발","[C++SWMATLABPythonC, • 기계, 컴퓨터, 자동차, 제어, 로봇공학 관련 전공\n• 자율주행 및 AI 관련 해외 학회/저널 논문 게재 경험\n• GNSS, IMU에 대한 이해\n• 차량 동역학에 대한 이해]",649,"['AI', 'C++', '제어', '자동차', '논문', '자율주행', 'C']"
에이알247,경력 1~10년,회사내규에 따름,경기도 성남시 분당구 구미동 로드랜드이지타워 108호,자율주행,"• 자율주행 무인 배달 로봇 위치추정 및 지도제작
• Lidar SLAM / Visual SLAM
• Pose Graph SLAM
• LegoLoam SLAM
• IMU Odometer
• GPS Sensor Fusion    ","[C++ROSPythonC, • SLAM 을 활용한 위치추정 개발 경력\n• 자율주행 관련 개발자]",650,"['C', '자율주행', 'C++']"
트리즈엔지니어링,경력 2~10년,회사내규에 따름,경기도 화성시 동탄산단5길 10-12,자율주행,"• 실내·외 로봇 인지, 판단, 제어 시스템 SW 개발
• ROS, Linux, Python/C/C++  기반 로봇시스템 개발
• 자율주행 실내·외 로봇 알고리즘 개발 
• 관제시스템 UI/UX 개발","[ROSLinuxC++SWPythonCC#Windows, • Python, C, C++ 개발 경험자\n• Windows/Linux 기반의 로봇시스템 개발 경험자 \n• 관련 프로젝트 및 업무 경험자\n• 관련 전공 석/박사 학위 보유자\n• 커뮤니케이션 능력, 문제 해결 능력 보유자]",651,"['학위', '박사', '프로젝트', 'C', 'Linux', 'Python']"
알지티,경력 3~7년,회사내규에 따름,서울 금천구 디지털로10길 78 10층 1009호,자율주행,"• 당사제품에 대한 펌웨어 개발
• 당사제품에 대한 하드웨어 설계 및 검증
• 당사제품에 대한 시스템 통합
• 당사제품에 대한 테스트 및 검증
• 당사제품에 대한 문서작성
• 기타 필요한 업무","[OrcadC++FWPythonC, • 자율주행로봇 관련분야에서의 프로젝트 경험을 가진자\n• 전자공학, 로봇공학 관련 분야의 석사 이상 학위 소지자\n• 영어 능통자]",652,"['학위', '프로젝트', '경험을', '석사', '영어']"
