기업이름,고용형태,연봉,기업주소,키워드,담당업무,인덱스,필요역량
위드브레인,경력4~11년,-," 서울특별시 강남구 테헤란로 327 402호 (역삼동,빅토리아오피스텔) ",딥러닝,"소프트웨어·하드웨어, 응용프로그래머, 데이터베이스·DBA",498,"['딥러닝', 'Python', '머신러닝', 'AI']"
주식회사 경연파트너스,경력9~20년,-," 서울특별시 금천구 디지털로9길 46 (가산동,이앤씨드림타워7차) ",딥러닝,"경영·기획·전략, 응용프로그래머, ERP·시스템분석·설계",499,"['딥러닝', '프로젝트', '영어']"
주식회사 딥브레인에이아이,경력3년↑,-, 서울특별시 강남구 역삼로7길 6 성룡빌딩 ,딥러닝,빅데이터·AI(인공지능),500,"['석사', '전공자', '머신러닝', 'C/C++', 'C', '3D', '딥러닝', '영상처리', '학위', 'C++', '엔지니어', '경력자', '알고리즘']"
제이엠피코리아,신입/경력(연차무관),-," 서울특별시 영등포구 영신로 220 (영등포동8가,KnK디지털타워) 1301호 ",딥러닝,"응용프로그래머, 빅데이터·AI(인공지능), 조사·분석·통계",501,"['딥러닝', '분석', '데이터', '프로젝트']"
주식회사 라피플코리아리미티드,경력3~13년,-," 서울특별시 강남구 테헤란로 328 901호(역삼동,동우빌딩) ",딥러닝,빅데이터·AI(인공지능),502,"['석사', '머신러닝', '개선', '분석', '딥러닝', '경력자', '학위', 'AI', 'Python']"
주식회사 경연파트너스,경력2~10년,-," 서울특별시 금천구 디지털로9길 46 (가산동,이앤씨드림타워7차) ",딥러닝,"응용프로그래머, ERP·시스템분석·설계",503,"['석사', 'Computer', '분석', '데이터', 'Vision', 'Tensorflow', '딥러닝', 'object', '학위', '엔지니어', 'Python', '설계', '이미지']"
유비소시어스,경력5년↑,-," 서울특별시 금천구 가산디지털2로 123 월드메르디앙2차 1110호, 1116호 ",딥러닝,빅데이터·AI(인공지능),504,"['data', '딥러닝', '엔지니어', 'AI', 'Python', '인공지능']"
스카우트파트너스,경력10~20년,-," 서울특별시 강남구 테헤란로44길 5 대아빌딩 5층, 6층(역삼동) ",딥러닝,"컨텐츠·사이트운영, 소프트웨어·하드웨어, 웹기획·웹마케팅·PM",505,"['기획', 'Data', '웹', '분석', '검증', '딥러닝', '협업', 'AI', '설계']"
사피엔스논문컨설팅연구소 주식회사,신입/경력(연차무관),-," 서울특별시 중구 을지로 6 1206호 (을지로1가,재능빌딩) ",딥러닝,"대학(교)강사·교수, 교육상담·학원에이전트 ",506,"['머신러닝', '논문', '분석', '딥러닝', '공학']"
프로써치코리아,경력3년↑,-, 서울특별시 강남구 테헤란로 333 (역삼동) 신도벤처타워 10층 ,딥러닝,"소프트웨어·하드웨어, 빅데이터·AI(인공지능)",507,"['머신러닝', '데이터', '딥러닝', '협업', '알고리즘']"
카이어,신입/경력(연차무관),-," 서울특별시 서초구 매헌로8길 39 E동 302호 (양재동,희경빌딩) ",딥러닝,빅데이터·AI(인공지능),508,"['학습', 'C', '분석', '데이터', '딥러닝', '학위', '알고리즘']"
주식회사 인브레인에이아이,경력3년↑,-, 서울특별시 금천구 디지털로10길 78 가산테라타워 9층 926호(가산동) ,딥러닝,"응용프로그래머, 빅데이터·AI(인공지능)",509,"['머신러닝', '학습', '웹', 'API', '데이터', '딥러닝', '시스템', 'AI', 'Python', '알고리즘', '설계']"
고큐바테크놀로지,경력3년↑,-," 서울특별시 중구 한강대로 416 5층 (남대문로5가,서울스퀘어) ",딥러닝,빅데이터·AI(인공지능),510,"['분석', '데이터', '성능', '딥러닝', '최적화', 'AI', '인공지능', '알고리즘']"
카이어,경력3~10년,-," 서울특별시 서초구 매헌로8길 39 E동 302호 (양재동,희경빌딩) ",딥러닝,"영업기획, 기술영업",511,"['학사', '기획', '학습', '영어', '분석', '데이터', '딥러닝', '협업', '학위']"
휴먼디지탈,경력10년↑,-," 서울특별시 서초구 사임당로 28 525호(서초동,청호나이스) ",딥러닝,"웹프로그래머, 응용프로그래머, ERP·시스템분석·설계",512,"['기획', '머신러닝']"
주식회사 경연파트너스,경력1~10년,-," 서울특별시 금천구 디지털로9길 46 (가산동,이앤씨드림타워7차) ",딥러닝,빅데이터·AI(인공지능),513,"['석사', '논문', '딥러닝', '박사', 'AI']"
헤드헌트,경력5년↑,-, 서울특별시 성동구 상원12길 30 서울숲 동진아이티타워 609호(성수동1가) ,딥러닝,빅데이터·AI(인공지능),514,"['영어', 'tensorflow', '분석', '데이터', '딥러닝', '설계']"
서치넷,경력5~15년,-, 서울특별시 강남구 선릉로 529 함양재빌딩 5014호(역삼동) ,딥러닝,웹프로그래머,515,"['딥러닝', '경력자', '웹', 'AI']"
엑사로보틱스,신입/경력(연차무관),-," 서울특별시 강남구 테헤란로 406 B동 203호 (대치동,샹제리제센터) ",딥러닝,응용프로그래머,516,"['석사', '학사', '자율주행', '공학', '제어', 'C', 'SW', '딥러닝', '시스템', '로봇', '학위', 'vision', '경력자', '박사', 'Object', 'Python', '알고리즘', '설계']"
유니코써치,경력4~10년,-, 경기도 시흥시 뒷방울길 101 (정왕동) ,딥러닝,ERP·시스템분석·설계,517,"['기획', '머신러닝', '개선', '분석', '데이터', '딥러닝', '협업']"
제이앤파트너즈코리아 ,경력20년↑,-," 서울특별시 용산구 한강대로43길 8 103동 1306호(한강로2가,벽산메가트리움) ",딥러닝,빅데이터·AI(인공지능),518,"['기획', '전공자', '학습', '분석', '데이터', '검증', '경력자', '박사', 'AI']"
유비소시어스,경력3년↑,-," 서울특별시 금천구 가산디지털2로 123 월드메르디앙2차 1110호, 1116호 ",딥러닝,웹프로그래머,519,"['웹', '데이터', '딥러닝', '협업', '프로젝트', 'Python', '인공지능', 'API', '설계']"
주식회사 브랜드미,경력(연차무관),-," 서울특별시 서초구 효령로 412 (서초동,대호빌딩)3 층 ",딥러닝,빅데이터·AI(인공지능),520,"['머신러닝', '딥러닝', '엔지니어', '학위', '박사', '경험을', '알고리즘']"
유비소시어스,경력3년↑,-," 서울특별시 금천구 가산디지털2로 123 월드메르디앙2차 1110호, 1116호 ",딥러닝,웹프로그래머,521,"['네트워크', '웹', '개선', '데이터', '딥러닝', '협업', '프로젝트', '최적화', '경험을', 'API', '인공지능', '알고리즘', '설계']"
제이앤파트너즈코리아 ,경력20년↑,-," 서울특별시 용산구 한강대로43길 8 103동 1306호(한강로2가,벽산메가트리움) ",딥러닝,빅데이터·AI(인공지능),522,"['학사', '기획', '머신러닝', '분석', '데이터', 'SW', '딥러닝', '프로젝트', 'AI', '알고리즘']"
세미브레인,신입/경력(연차무관),-, 서울특별시 강남구 역삼로 169 4층 A호실 ,딥러닝,"ERP·시스템분석·설계, 빅데이터·AI(인공지능)",523,"['회로', '영어', '분석', '검증', '딥러닝', '최적화', '인공지능', '임베디드', '설계']"
메이븐클라우드서비스,경력1년↑,-," 서울 강남구 언주로 609 B동 14층 (논현동,팍스타워) ",딥러닝,IT·문화·직업강사,524,"['네트워크', '데이터', '딥러닝', '프로젝트', '경력자', 'Python', '인공지능']"
피플케어코리아,경력10년↑,-," 서울특별시 강남구 영동대로 511 (삼성동,트레이드타워) 27층, 33층 ",딥러닝,"전자·반도체, 빅데이터·AI(인공지능)",525,"['머신러닝', '딥러닝', '영상처리', '박사', 'AI', '인공지능']"
유비소시어스,경력2년↑,-," 서울특별시 금천구 가산디지털2로 123 월드메르디앙2차 1110호, 1116호 ",딥러닝,네트워크·서버·보안,526,"['전공자', '네트워크', 'linux', '딥러닝', '시스템', '경력자', '인공지능']"
두원전자통신,경력2년↑,-," 경기도 부천시 석천로 397 (삼정동,부천테크노파크쌍용3차) ",딥러닝,"네트워크·서버·보안, 통신·모바일, 빅데이터·AI(인공지능)",527,"['머신러닝', '네트워크', 'C', 'SW', 'S/W', '딥러닝', 'Object', 'AI', 'TensorFlow', '인공지능']"
제이엠피코리아,신입/경력(연차무관),-," 서울특별시 영등포구 영신로 220 (영등포동8가,KnK디지털타워) 1301호 ",딥러닝,"응용프로그래머, 빅데이터·AI(인공지능)",528,"['머신러닝', '분석', '데이터', '딥러닝', '프로젝트']"
크래프톤,경력10년↑,-," 서울특별시 강남구 테헤란로 231 (역삼동,센터필드) EAST타워 28-35층 ",딥러닝,게임(Game),529,"['딥러닝', '프로젝트', 'AI']"
주식회사 딥브레인에이아이,신입/경력(연차무관),-, 서울특별시 강남구 역삼로7길 6 성룡빌딩 ,딥러닝,빅데이터·AI(인공지능),530,"['석사', '머신러닝', '웹', 'Tensorflow', '딥러닝', 'Python', '인공지능', '공학']"
델토이드,신입,"3,000~3,500", 서울특별시 구로구 신도림로13길 51 (신도림동)    ,딥러닝,응용프로그래머,531,"['학사', '웹', '데이터', '딥러닝', 'Python']"
에이치알맨파워그룹,신입/경력6년미만,-, 서울 강남구 테헤란로 322 한신인터밸리 24 서관 18층 ,딥러닝,"빅데이터·AI(인공지능), 응용프로그래머",532,"['학사', '머신러닝', '논문', 'C', '개선', '데이터', '분석', 'Tensorflow', '성능', '딥러닝', '로봇', '최적화', 'AI', 'Python', '인공지능', '알고리즘']"
벤처피플,경력4~15년,-, 서울특별시 강남구 테헤란로87길 36 2305호 ,딥러닝,빅데이터·AI(인공지능),533,"['학사', '기획', '머신러닝', 'Data', '공학', '개선', '분석', '검증', '성능', '딥러닝', '최적화', 'AI', 'data', '알고리즘']"
맨쉬컨설팅주식회사,경력(연차무관),-," 서울특별시 강남구 테헤란로16길 9 2 ~ 5층(주동빌딩, 역삼동) ",딥러닝,응용프로그래머,534,"['석사', '학사', '머신러닝', '학습', 'C', '딥러닝', 'sw', '학위', '엔지니어', '박사', 'TensorFlow', 'Python', '알고리즘', '설계']"
에이치알그룹,경력3년↑,-,(137-070) 서울 서초구 서초동 1340-6 남강빌딩 11층 ,딥러닝,네트워크·서버·보안,535,"['네트워크', 'C', '딥러닝', 'Python', 'API', '설계']"
주식회사 경연파트너스,신입/경력4~12년,-," 서울특별시 금천구 디지털로9길 46 (가산동,이앤씨드림타워7차) ",딥러닝,응용프로그래머,536,"['머신러닝', 'C', '분석', '데이터', '딥러닝', '박사', 'AI', 'Python', 'Linux', '설계']"
코난테크놀로지,신입/경력(연차무관),-," 서울특별시 서초구 강남대로 327 6층,7층 (서초동) ",딥러닝,"ERP·시스템분석·설계, 빅데이터·AI(인공지능)",537,"['학사', '학습', '논문', '검증', '딥러닝', '프로젝트', '인공지능']"
에이치알그룹,경력2년↑,-,(137-070) 서울 서초구 서초동 1340-6 남강빌딩 11층 ,딥러닝,웹프로그래머,538,"['네트워크', 'C', '딥러닝', 'Python', 'API', '설계']"
보잉코리아(유),경력3년↑,-," 서울특별시 중구 세종대로 136 16층 (태평로1가,파이낸스빌딩) ",딥러닝,"ERP·시스템분석·설계, 빅데이터·AI(인공지능)",539,[]
주식회사 브랜드미,경력7년↑,-," 서울특별시 서초구 효령로 412 (서초동,대호빌딩)3 층 ",딥러닝,"빅데이터·AI(인공지능), 웹기획·웹마케팅·PM",540,"['기획', 'Data', '분석', '딥러닝', '협업', 'AI', '설계']"
보잉코리아(유),경력5~10년,-," 서울특별시 중구 세종대로 136 16층 (태평로1가,파이낸스빌딩) ",딥러닝,"응용프로그래머, 빅데이터·AI(인공지능), ERP·시스템분석·설계",541,['AI']
드림에이치알,경력5년↑,-,"(137-880) 서울특별시 서초구 서초대로62길 9-22 (서초동,자동차산업회관) 3층 ",딥러닝,"응용프로그래머, 빅데이터·AI(인공지능)",542,"['컴퓨터공학', '제어', 'C', '개선', 'SW', '로봇', '시스템', '설계', '학사', '3D', '분석', 'AI', '임베디드', '알고리즘', '기획', '머신러닝', '딥러닝', '프로젝트', '박사', 'Python']"
써로마인드,경력2년↑,"4,000~5,000"," 서울특별시 관악구 남부순환로 1802 2층 (봉천동,관악캠퍼스타워)   ",딥러닝,"웹프로그래머, 응용프로그래머, 빅데이터·AI(인공지능)",543,[]
넷마블컴퍼니,경력3년↑,-," 서울특별시 구로구 디지털로 300 20층 (구로동,지밸리비즈플라자) ",딥러닝,"빅데이터·AI(인공지능), 응용프로그래머, ERP·시스템분석·설계",544,[]
유비소시어스,경력3~11년,-," 서울특별시 금천구 가산디지털2로 123 월드메르디앙2차 1110호, 1116호 ",딥러닝,빅데이터·AI(인공지능),545,"['딥러닝', '프로젝트', 'AI', 'Python', '알고리즘']"
크래프톤,경력2년↑,-," 서울특별시 강남구 테헤란로 231 (역삼동,센터필드) EAST타워 28-35층 ",딥러닝,"응용프로그래머, 웹프로그래머",546,"['딥러닝', '프로젝트']"
클라리파이,경력3~10년,-," 서울특별시 종로구 이화장1길 11 2~4층(이화동,영광빌딩B동) ",딥러닝,기술영업,547,"['딥러닝', 'SW', 'AI']"
스카우트파트너스,경력3~8년,-," 서울특별시 강남구 테헤란로44길 5 대아빌딩 5층, 6층(역삼동) ",딥러닝,"데이터베이스·DBA, ERP·시스템분석·설계, 응용프로그래머",548,"['학사', '컴퓨터공학', 'tensorflow', '개선', '분석', '데이터', '딥러닝', 'AI', 'Python', 'API', '설계']"
크래프톤,경력(연차무관),-," 서울특별시 강남구 테헤란로 231 (역삼동,센터필드) EAST타워 28-35층 ",딥러닝,"광고·CG·시각디자인, 광고·광고기획(AE)",549,"['딥러닝', '프로젝트']"
크래프톤,경력(연차무관),-," 서울특별시 강남구 테헤란로 231 (역삼동,센터필드) EAST타워 28-35층 ",딥러닝,응용프로그래머,550,"['딥러닝', '프로젝트']"
크래프톤,경력(연차무관),-," 서울특별시 강남구 테헤란로 231 (역삼동,센터필드) EAST타워 28-35층 ",딥러닝,마케팅,551,"['딥러닝', '프로젝트']"
써로마인드,경력2년↑,-," 서울특별시 관악구 남부순환로 1802 2층 (봉천동,관악캠퍼스타워)   ",딥러닝,"빅데이터·AI(인공지능), 웹프로그래머, 웹디자인",552,[]
클라리파이,경력1년↑,-," 서울특별시 종로구 이화장1길 11 2~4층(이화동,영광빌딩B동) ",딥러닝,"마케팅, 영업기획, 영업관리·영업지원",553,"['기획', 'SW', '딥러닝', 'AI', '인공지능']"
세미브레인,신입/경력(연차무관),-, 서울특별시 강남구 역삼로 169 4층 A호실 ,딥러닝,"ERP·시스템분석·설계, 일반사무·사무지원, 시스템프로그래머",554,"['영어', 'C', 'AI', 'Python', 'data']"
커리어앤스카우트,경력8년↑,-,(150-891) 서울 영등포구 여의도동 35-4 한국화재보험협회빌딩 15층 ,딥러닝,빅데이터·AI(인공지능),555,"['기획', 'Data', '머신러닝', '분석', '데이터', '검증', '딥러닝', '프로젝트', '경력자', '박사', '공학', '설계']"
포티투닷 주식회사,경력(연차무관),-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층 ",딥러닝,빅데이터·AI(인공지능),556,"['학사', '논문', 'C', '분석', '최적화', '학위', '박사', 'TensorFlow', 'Python', '인공지능', '경험을', '설계']"
커리어앤스카우트,경력3~5년,-,(150-891) 서울 영등포구 여의도동 35-4 한국화재보험협회빌딩 15층 ,딥러닝,"응용프로그래머, 빅데이터·AI(인공지능)",557,"['학사', '머신러닝', '영어', '분석', '데이터', '성능', '딥러닝', '최적화', '학위', '엔지니어', 'AI', 'TensorFlow', 'Python', '인공지능', '공학', 'API']"
주식회사 경연파트너스,경력(연차무관),-," 서울특별시 금천구 디지털로9길 46 (가산동,이앤씨드림타워7차) ",딥러닝,"웹프로그래머, 빅데이터·AI(인공지능)",558,"['Data', '분석', '시스템', 'API', '설계']"
주식회사 경연파트너스,경력3~10년,-," 서울특별시 금천구 디지털로9길 46 (가산동,이앤씨드림타워7차) ",딥러닝,"웹프로그래머, 빅데이터·AI(인공지능)",559,"['기획', 'Data', '분석', '설계']"
딥인스펙션,경력4년↑,"3,500~4,000"," 서울특별시 송파구 법원로11길 25 A동 1313호 (문정동,에이치비지니스파크) ",딥러닝,"웹프로그래머, 데이터베이스·DBA",560,"['전공자', '컴퓨터공학', 'SW', '딥러닝', '프로젝트', '영상처리', '인공지능', '경험을', '설계']"
웨슬리퀘스트,경력2년↑,-," 서울특별시 서대문구 충정로 53 (충정로2가,골든타워빌딩) 9층 ",딥러닝,빅데이터·AI(인공지능),561,['데이터']
딥인스펙션,신입/경력(연차무관),"2,800~3,500"," 서울특별시 송파구 법원로11길 25 A동 1313호 (문정동,에이치비지니스파크) ",딥러닝,"경영·기획·전략, 재무·자금·IR, 경리",562,"['딥러닝', '영상처리', '인공지능']"
딥인스펙션,경력4년↑,"3,500~4,000"," 서울특별시 송파구 법원로11길 25 A동 1313호 (문정동,에이치비지니스파크) ",딥러닝,"웹프로그래머, 데이터베이스·DBA, HTML·퍼블리싱·UI개발",563,"['전공자', '컴퓨터공학', 'SW', '딥러닝', '프로젝트', '영상처리', '인공지능', '경험을', '설계']"
삼정KPMG그룹,경력2년↑,-, 서울특별시 강남구 테헤란로 152 강남파이낸스센터 27층 ,딥러닝,"ERP·시스템분석·설계, 응용프로그래머",564,"['머신러닝', '웹', '데이터', 'Vision', '엔지니어', 'AI', 'API']"
프로매치코리아,경력(연차무관),-," 서울특별시 강남구 테헤란로 333 10층 (역삼동,신도벤처타워) ",딥러닝,"경영·기획·전략, 응용프로그래머, 빅데이터·AI(인공지능)",565,"['기획', 'Data', 'Computer', '분석', 'Vision', '협업', '프로젝트', '경력자', 'AI']"
뷰런테크놀로지,신입/경력(연차무관),-," 서울특별시 서초구 강남대로 311 (서초동,한화생명보험빌딩) ",딥러닝,빅데이터·AI(인공지능),566,"['석사', '컴퓨터공학', '자율주행', 'C', 'ADAS', '알고리즘']"
뷰런테크놀로지,경력1년↑,-," 서울특별시 서초구 강남대로 311 (서초동,한화생명보험빌딩) ",딥러닝,빅데이터·AI(인공지능),567,"['네트워크', 'C', '개선', '분석', '데이터', '성능', '프로젝트', '경력자', 'Python', '공학']"
NH투자증권,경력2년↑,-, 서울특별시 영등포구 여의대로 60 (여의도동) ,딥러닝,빅데이터·AI(인공지능),568,['Data']
크라우드웍스,경력2년↑,-," 서울특별시 강남구 테헤란로 309 5층 (역삼동,삼성제일빌딩) ",딥러닝,빅데이터·AI(인공지능),569,[]
크라우드웍스,경력(연차무관),-," 서울특별시 강남구 테헤란로 309 5층 (역삼동,삼성제일빌딩) ",딥러닝,빅데이터·AI(인공지능),570,['엔지니어']
휴먼인써치,경력7년↑,-," 경기도 용인시 기흥구 흥덕2로87번길 18 (영덕동,이씨티) B동 4층 409호 ",딥러닝,"데이터베이스·DBA, 빅데이터·AI(인공지능), ERP·시스템분석·설계",571,"['Data', '컴퓨터공학', '머신러닝', '학습', '분석', '데이터', '박사', 'Python', '설계']"
피플워크,경력5~20년,-," 서울특별시 강남구 강남대로 310 1901호(역삼동,유니온센터오피스텔) ",딥러닝,빅데이터·AI(인공지능),572,"['협업', 'Tensorflow', '엔지니어', 'AI']"
파워에이치알,경력1~10년,-, 서울 강남구 테헤란로78길 14-9 원일 (대치동) ,딥러닝,빅데이터·AI(인공지능),573,"['석사', 'Data', 'Computer', 'C', '분석', 'Tensorflow', 'vision', '프로젝트', '엔지니어', 'AI', 'python']"
피플워크,경력5~10년,-," 서울특별시 강남구 강남대로 310 1901호(역삼동,유니온센터오피스텔) ",딥러닝,"빅데이터·AI(인공지능), 경영·기획·전략",574,"['학사', 'Data', '기획', '프로젝트', 'AI']"
무스마,경력(연차무관),-, 부산광역시 수영구 망미번영로52번길 3 (수영동) (주)무스마 ,딥러닝,"ERP·시스템분석·설계, 시스템프로그래머, 응용프로그래머",575,['AI']
카이어,신입/경력10년미만,-," 서울특별시 서초구 매헌로8길 39 E동 302호 (양재동,희경빌딩) ",딥러닝,"응용프로그래머, 빅데이터·AI(인공지능)",576,"['학습', 'C', '분석', 'Object', '학위', 'AI', 'TensorFlow', 'Python', '인공지능']"
온리원파트너스,경력5년↑,-," 서울특별시 성동구 아차산로17길 57 12층, 1201호(성수동2가,일신건영휴먼테코) ",딥러닝,"데이터베이스·DBA, ERP·시스템분석·설계, 빅데이터·AI(인공지능)",577,"['Data', '전공자', '머신러닝', '분석', '데이터', '프로젝트', '박사', 'Python', '설계']"
에이치엘비파트너스,경력4~15년,-," 서울특별시 강서구 공항대로 219 808호 (마곡동,센테니아빌딩) ",딥러닝,"데이터베이스·DBA, 빅데이터·AI(인공지능)",578,"['기획', 'Data', '머신러닝', '개선', '분석', '검증', '성능', '딥러닝', '프로젝트', '최적화', '경력자', 'AI', '알고리즘']"
아이아이에스티,경력3년미만,-," 서울특별시 금천구 디지털로10길 78 1004호 (가산동,가산테라타워) ",딥러닝,"응용프로그래머, 빅데이터·AI(인공지능), 소프트웨어·하드웨어",579,"['Python', '인공지능', '알고리즘', 'AI']"
한국정보기술단,경력(연차무관),-, 경기도 과천시 뒷골2로 66-1 (과천동) ,딥러닝,"빅데이터·AI(인공지능), 데이터베이스·DBA, 응용프로그래머",580,"['분석', '데이터']"
코가로보틱스,신입/경력(연차무관),-," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)    ",딥러닝,"빅데이터·AI(인공지능), 소프트웨어·하드웨어",581,['알고리즘']
코가로보틱스,신입/경력(연차무관),-," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)    ",딥러닝,"빅데이터·AI(인공지능), 소프트웨어·하드웨어",582,['자율주행']
코가로보틱스,신입/경력(연차무관),-," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)    ",딥러닝,"빅데이터·AI(인공지능), 소프트웨어·하드웨어",583,['알고리즘']
쉬모스랩,경력(연차무관),-, 서울특별시 강남구 논현로26길 21 3층 (도곡동) ,딥러닝,"응용프로그래머, 데이터베이스·DBA, 빅데이터·AI(인공지능)",584,"['머신러닝', '인공지능', '알고리즘', 'AI']"
스펠릭스,경력5~10년,-," 서울 영등포구 선유로9길 10 1601호 (문래동6가,문래 에스케이브이원센터) ",딥러닝,"빅데이터·AI(인공지능), 응용프로그래머, 데이터베이스·DBA",585,"['인공지능', 'AI']"
유어사이드,경력3년↑,-, 서울특별시 광진구 능동로 329 (중곡동) 2층 ,딥러닝,"응용프로그래머, ERP·시스템분석·설계, 웹디자인",586,"['Computer', 'C', 'SW', '협업', '프로젝트', 'AI', 'API', '설계']"
스펠릭스,경력5~10년,-," 서울 영등포구 선유로9길 10 1601호 (문래동6가,문래 에스케이브이원센터) ",딥러닝,"빅데이터·AI(인공지능), 데이터베이스·DBA, ERP·시스템분석·설계",587,"['엔지니어', '데이터']"
스마트디아그노시스,신입/경력3~20년,-," 서울 마포구 성암로 189 806호 (상암동,중소기업중앙회) ",딥러닝,"웹프로그래머, 응용프로그래머, 빅데이터·AI(인공지능)",588,"['프로젝트', '인공지능', '웹', '학습']"
벤처피플,경력5~12년,-, 서울특별시 강남구 테헤란로87길 36 2305호 ,딥러닝,"빅데이터·AI(인공지능), ERP·시스템분석·설계, 컨텐츠·사이트운영",589,"['석사', '학사', 'Data', '컴퓨터공학', '분석', '데이터', 'SW', 'Tensorflow', '시스템', '엔지니어', 'AI', 'Python', 'API']"
KSC&C,신입/경력(연차무관),-, 서울특별시 영등포구 양평동3가 46번지 이앤씨드림타워 409호 ,딥러닝,"빅데이터·AI(인공지능), 응용프로그래머, ERP·시스템분석·설계, 웹프로그래머, HTML·퍼블리싱·UI개발",590,"['C', 'Python', 'AI']"
주식회사 딥브레인에이아이,경력6년↑,-, 서울특별시 강남구 역삼로7길 6 성룡빌딩 ,딥러닝,"웹프로그래머, 응용프로그래머, 빅데이터·AI(인공지능)",591,"['웹', '협업', '프로젝트', 'Python', '인공지능']"
한국폴리텍대학 성남캠퍼스,신입/경력(연차무관),-, 경기 성남시 수정구 수정로 398 (산성동)    ,딥러닝,"연구원·연구개발, 기술영업, 바이오·식품공학, 빅데이터·AI(인공지능), 응용프로그래머, ERP·시스템분석·설계, 전자·반도체, 네트워크·서버·보안, 게임(Game), 소프트웨어·하드웨어",592,"['C', 'AI']"
나노융합산업연구조합,신입/경력(연차무관),-,(137-140) 서울 서초구 우면동 66-2 세신우면종합상가 408    ,딥러닝,"빅데이터·AI(인공지능), 응용프로그래머, ERP·시스템분석·설계, 전산·IT기술지원, 생산·조립·가공·포장·검품, 생산관리, 바이오·식품공학",593,['AI']
SK플래닛 Tacademy,신입/경력(연차무관),-,"(463-400) 경기도 성남시 분당구 판교로 264 (삼평동,sk플래닛판교사옥) ",딥러닝,"빅데이터·AI(인공지능), ERP·시스템분석·설계, 데이터베이스·DBA, 응용프로그래머, IT·문화·직업강사, 시스템프로그래머, 웹프로그래머, 네트워크·서버·보안, HTML·퍼블리싱·UI개발",594,[]
 실리콘스튜디오코리아,신입/경력(연차무관),-, 서울특별시 송파구 송파대로 201 송파 테라타워2 A동 1301호 ,딥러닝,"응용프로그래머, 네트워크·서버·보안, 빅데이터·AI(인공지능), ERP·시스템분석·설계, 웹프로그래머, 건축·공간·CAD·CAM디자인",595,"['네트워크', '영어', '시스템', '엔지니어', 'AI', 'Python']"
베스텔라랩,경력 2~15년,회사내규에 따름,대구 동구 동대구로 465 대구스케일업허브,자율주행,[베스텔라랩] 자율주행 연구원(경기/대구)(전문연구요원가능),596,"['기획', '전공자', '자율주행', 'Embedded', '제어', 'C', '개선', '분석', '데이터', '시스템', 'python', '알고리즘']"
긴트,경력 2~9년,회사내규에 따름,경기 성남시 분당구 판교로228번길 17 4층 긴트,자율주행,자율주행 개발자,597,"['자율주행', '논문', '제어', 'C', '시스템', 'C++', 'AI', '알고리즘']"
에이알247,경력 1~10년,회사내규에 따름,경기도 성남시 분당구 구미동 로드랜드이지타워 108호,자율주행,자율주행 SLAM 개발자,598,"['로봇', 'C', '자율주행', 'C++']"
트리즈엔지니어링,경력 2~10년,회사내규에 따름,경기도 화성시 동탄산단5길 10-12,자율주행,자율주행 로봇 및 관제 SW 개발자,599,"['자율주행', 'Linux', '제어', 'C', 'SW', '로봇', '시스템', '프로젝트', '학위', '박사', 'Python', '알고리즘', 'ROS']"
알지티,경력 3~7년,회사내규에 따름,서울 금천구 디지털로10길 78 10층 1009호,자율주행,자율주행 F/W엔지니어,600,"['석사', '영어', '검증', '시스템', '프로젝트', '학위', '경험을', '설계']"
에이알247,경력 2~10년,회사내규에 따름,경기도 성남시 분당구 구미동 로드랜드이지타워 1층 108호,자율주행,자율주행 로봇 Perception Engineer 채용,601,"['석사', '자율주행', 'C', 'Vision', 'Object', '박사']"
클로봇,경력 2~10년,회사내규에 따름,"경기도 성남시 분당구 성남대로925번길 16, 7층 701호(야탑동)",자율주행,[클로봇] 자율주행 개발자(병역특례 가능),602,"['석사', 'Linux', '개선', '검증', '학위', '박사', '알고리즘', '설계', 'ROS']"
컨트롤웍스,경력신입~5년,회사내규에 따름,서울 강남구 언주로81길 13 4층,자율주행,[신입/경력] 자율주행 플랫폼 엔지니어,603,"['자율주행', '네트워크', '시스템', '프로젝트', '최적화', '설계']"
컨트롤웍스,경력신입~5년,회사내규에 따름,서울 강남구 언주로81길 13 4층,자율주행,[신입/경력] 자율주행 SW 엔지니어,604,"['자율주행', '제어', 'C', '딥러닝', '프로젝트', '학위', 'C++', '최적화', '박사', '알고리즘']"
뉴빌리티,경력 3~8년,회사내규에 따름,"서울 성동구 왕십리로 115, 2층",자율주행,Sensor Fusion Engineer(전문연구요원 가능),605,"['C', '분석', '데이터', '성능', '시스템', 'C++', '학위', '박사', 'AI']"
알지티,경력 3~4년,회사내규에 따름,서울 금천구 디지털로10길 78 10층 1009호,자율주행,다중 로봇 제어 SW 개발자,606,"['석사', 'C', '로봇', 'C++', '학위', '박사', '설계']"
클로봇,경력 3~6년,회사내규에 따름,"경기도 성남시 분당구 성남대로925번길 16, 7층 701호(야탑동)",자율주행,[클로봇] Robot Controller 및 Driver 개발자(병역특례 가능),607,"['자율주행', 'Linux', '제어', 'C', '검증', '로봇', 'C++', '통신', '알고리즘', '설계', 'ROS']"
