,기업이름,담당업무,연봉,고용형태,키워드,기업주소,필요역량
10,(주)유비소시어스,빅데이터·AI(인공지능),,경력5년↑,딥러닝," 서울특별시 금천구 가산디지털2로 123 월드메르디앙2차 1110호, 1116호 ","


의약품연구 전문기업, AI 엔지니어 모집 - 인크루트 채용














의약품연구 전문기업, AI 엔지니어 모집본 공고에 지원하시면 성심성의껏 진행하겠습니다.




모집부문 및 자격요건






모집부문
담당업무
자격요건 및 우대사항
인원




AI 엔지니어- 대규모 유전체의 질병유발 관련 data 관련 딥러닝- 질병과 유전변이 간 상관관계 예측 모듈 개발/고도화- 희귀질환의 치료가 가능한 후보물질을 조합하는 인공지능 개발

- 경력 5년이상- 석사이상 (박사학위 소지자 우대)- 제약사나 바이오 업계에서 신약개발 Process를 경험해 본 AI 엔지니어- 생명공학 도메인+딥러닝 코딩이 가능한 AI 엔지니어- 비정형 데이터를 가공/처리/분석하여 인사이트를 도출할 수 있는 능력을 갖춘 분- Python, SQL역량이 우수하신 분 우대- Pandas, Pytorch, Tensorflow등의 Tool을 다루는 것에 익숙하신 분 우대[기타사항]- 정규직, 주 5일 근무- 연봉은 업계 최고 수준- 근무지 : 서울 강남구 선릉역 근처

1 명





근무조건
고용형태: 정규직 주 5일 근무 근무지: 서울 강남, 참고로 서울시 금천구는 HR컨설팅회사 위치입니다.근무부서: 연구소급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접전형 > 최종심사 > 최종합격


접수방법
채용시 마감
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서, 자유양식담당자 : 오기범전무연락처 : ***-****-****이메일 : linkhuman@naver.com******@*******.***


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
11,(주)스카우트파트너스,"컨텐츠·사이트운영, 소프트웨어·하드웨어, 웹기획·웹마케팅·PM",,경력10~20년,딥러닝," 서울특별시 강남구 테헤란로44길 5 대아빌딩 5층, 6층(역삼동) ","


신규 서비스기획 리더 (AI.딥러닝.앱.웹.챗봇.10년이상) IT 기업 - 인크루트 채용













IT 신규 서비스기획 리더 (AI.딥러닝.앱.웹.챗봇.10년이상)■ 담당업무- AI 기술을 고려한 신규 서비스(PC,Mobile) 런칭 (A to Z)- AI관련 사업 정의에 대한 유저 스토리 중심의 프론트&백엔드 분석/설계- 정성/정량적 사용자 경험(UX) 리서치를 통한 논리적 커뮤니케이션- 연구/개발/QA/마케팅/사업 부서와 협력하여 서비스를 출시하는 전 과정 리딩■ 필수요건- PO로서 우선순위 및 마일스톤, 협업 리소스 조율을 포함한 의사결정능력- 딥러닝 AI모델의 장단점을 빠르게 캐치해 MVP부터 린하게 고도화시킬 수 있는 그로스 마인드 성향(Done is better than perfect)- B2B SaaS 또는 빅데이터 기반 B2C 서비스 런칭 경험 (성공 또는 실패 이유에 대한 통찰력)** 서비스기획 경력 최소 10년 이상 ~ 12년 내외 (리더급)- IT기반의 서비스기획 경력자로 '기획' 역량 중요<우대>- 딥러닝 기술을 기본으로 한 서비스 기획 경험이 있으신 분- 리서치 인사이트를 극대화하기 위한 Data-Intelligence Tool 활용 및 AB테스팅 경험(가설 검증)이 있으신 분- 리더급 기획자로서 주니어 PM 및 유관부서와의 성장 롤모델 및 코칭 능력을 보유한 분- 변화에 능동적이며 주도적으로 업무를 수행하는 분※ 요청시 IT 서비스 기획 중심 '웹/앱, AI, 챗봇 등' 포트폴리오 필수 제출 【 전형절차 】 서류-면접               ASAP【 제출서류/문의 】- 국문이력서 (ms-word, 사진)   자소서 가능         jhk@scoutpartners.co.kr******@*******.***           정 현경 이사    ***-****-*****  중복지원 불가/ 응시분야/현재.희망연봉 기입, 이력서접수시 현재 or 추후 수시채용 포지션 반영    지원서의 기재사항이 사실과 다를 경우 채용합격이 취소됩니다.






"
12,사피엔스논문컨설팅연구소 주식회사,"대학(교)강사·교수, 교육상담·학원에이전트 ",,신입/경력(연차무관),딥러닝," 서울특별시 중구 을지로 6 1206호 (을지로1가,재능빌딩) ","


논문컨설턴드/지도박사님 모집합니다.(머신러닝/딥러닝/공학 우대) - 인크루트 채용
















사피엔스논문컨설팅연구소 주식회사
논문컨설턴드/지도박사님 모집합니다.(머신러닝/딥러닝/공학 우대)



모집부문 및 자격요건






모집부문
담당업무
자격요건
인원




교육컨설턴트/지도박사

[담당업무]고객이 학위를 취득할 수 있도록 논문과정 전반을 지도해 주시게 됩니다. 주제선정에서부터 자료수집, 설문 과정, 통계 분석, 학술적 글쓰기 등등 논문 전반에서 발생하는 다양한 과정을 연구자와 함께 완성해 나가시는 역할을 고객과 협의하여 진행하게 됩니다.


[자격요건]경력사항: 신입, 경력(연차무관)학력사항: 박사졸업 이상직무기술: 교육컨설팅, 강의

00 명





근무조건
고용형태: 프리랜서(근무기간 협의 후 결정)급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서에 연락처, 희망연봉 기재제출한 서류는 일체 반환하지 않음이력서, 자기소개서서류전형, 면접전형


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.











"
13,(주)프로써치코리아,"소프트웨어·하드웨어, 빅데이터·AI(인공지능)",,경력3년↑,딥러닝, 서울특별시 강남구 테헤란로 333 (역삼동) 신도벤처타워 10층 ,"


의료영상알고리즘 개발 - 인크루트 채용

















(주)프로써치코리아
의료영상알고리즘 개발
우리 회사를 한 줄로 표현해주세요
우리 회사에 대해 4줄 이내로 소개해주세요




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




의료영상 알고리즘 개발

[담당업무]-선량계산 수식기반 Analytic 알고리즘 개발-CT를 이용한 의료영상 전문 영역의 데이터 활용 딥러닝 연구


[자격요건]-경력 3년 이상-머신러닝 개발 경험-Python을 이용한 데이터분석 및 딥러닝 알고리즘 연구 경험-학사이상[우대사항]-Git 및 Github기반 형상 관리 프로그램 사용 경험 및 협업 개발 실무 경험

0 명





근무조건
고용형태: 정규직급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
2024-01-26 (금) 23시59분까지
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
14,(주)카이어,빅데이터·AI(인공지능),,신입/경력(연차무관),딥러닝," 서울특별시 서초구 매헌로8길 39 E동 302호 (양재동,희경빌딩) ","


Machine Learning R&D 연구원 모집 - 인크루트 채용















(주)카이어
Machine Learning R&D 연구원 모집




모집부문 및 자격요건






담당업무
자격요건
인원





[담당업무]  ㆍ딥러닝 머신비전, 데이터 분석 기반의 결함 및 이상 탐지 알고리즘 개발  ㆍ머신비전 및 데이터 분석 소프트웨어 솔루션 개발  ㆍ기계학습 알고리즘 연구 및 논문작성 (지도 및 비지도 학습)[근무부서 및 직급/직책]근무부서: 기술연구소직급/직책: 팀원, 팀장


[자격요건]경력사항: 신입, 경력(연차무관)학력사항: 대학교(4년)졸업 이상직무기술: 정보통신, 프로그램기타: ● 지원자격  ㆍ경력 : 무관 (신입도 지원 가능)  ㆍ최신 딥러닝, 기계학습 이론에 대한 이해 및 구현 역량  ㆍPython, TnsorFlow, C/C++, TensorRT 등 프로그래밍 실무 역량  ㆍ팀워크 및 의사소통의 Communication 역량  ㆍ논리적 문제해결 역량 및 새로운 지식 학습 역량● 우대사항  ㆍ공학계열, 컴퓨터/시스템공학, 전기/전자공학  ㆍ유관 전공 석박사 학위, CUDA 프로그래밍 역량 보유자  ㆍ해당직무 근무경험[우대사항]전공계열: 공학계열우대사항: 석박사

0 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: 기술연구소인근전철역: 신분당선 양재시민의숲 (5번 출구에서 )급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
상시채용
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
15,주식회사 인브레인에이아이,"응용프로그래머, 빅데이터·AI(인공지능)",,경력3년↑,딥러닝, 서울특별시 금천구 디지털로10길 78 가산테라타워 9층 926호(가산동) ,"


[(주)인브레인에이아이] Android, iOS 외 경력 정규직 채용 - 인크루트 채용
















Android, iOS 외 경력 정규직 채용
주식회사 인브레인에이아이




모집부문 및 자격요건









담당업무
자격요건
인원





[담당업무]1. 모바일 앱 개발자: 모바일 컨텐츠 개발 및 유지보수2. 백앤드 개발자: 백앤드 프로그램 개발 및 App Service의 백앤드 개발을 담당3. TA 서버 구축 관리 및 운영 담당자: TA 서버 구축 관리 및 운영4. 머신러닝 / 딥러닝 / 빅데이터 전문가: AI 알고리즘 개발 / 학습 데이터 적재 및 가공을 위한 시스템 개발


[자격요건]경력사항: 경력(3년 이상 )학력사항: 학력무관기타: 1. 모바일 앱 개발자 (1인) 1) 담당업무     ㆍ모바일 컨텐츠 개발 및 유지보수 2) 자격요건     ㆍ학력 : 무관     ㆍ경력 : 3년 이상     ㆍ모바일개발 3년 이상     ㆍswift 혹은 kotlin 개발 및 운영 경험자     ㆍ알람, 내부결제 구현 및 마켓 등록에 능숙한 자 3) 우대사항     ㆍAOS, IOS 개발을 병행할 수 있는 분     ㆍ웹페이지를 병행한 하이브리드 앱 개발에 경험이 많으신 분     ㆍ머신러닝, 딥러닝 경험자 우대2. 백앤드 개발자 (2인) 1) 담당업무     ㆍ백앤드 프로그램 개발 및 App Service의 백앤드 개발을 담당 2) 자격요건     ㆍ학력 : 무관     ㆍ경력 : 5년 이상     ㆍ활용언어 : JAVA(spring, spring boot 등), Python(Django, flask 등), node js(express), Database, Mysql, MSSql, Oracle     ㆍ대용량 웹 사이트 5년 이상 개발 운영 경험 (언어, 프레임워크 무관)     ㆍ파이썬 기반 백엔드 개발 경험     ㆍLinux 플랫폼에서 백앤드 개발/운영 경험     ㆍRestful API 설계, 개발경험이 있으신 분     ㆍRDBMS(MySQL, MSSQL, PostgreSQL 등) 기반 개발 경험 3) 우대사항     ㆍAWS등 클라우드 환경의 서비스 개발 및 운영 경험     ㆍRest API기반 서비스 구축 경험 (언어, 프레임워크 무관)     ㆍDocker 등 컨테이너 기반 서비스 경험     ㆍ머신러닝, 딥러닝 경험자 우대3. TA 서버 구축 관리 및 운영 담당자 (1인) 1) 자격요건     ㆍAWS 경력 3년 이상     ㆍLinux OS 및 Application 운영 경험     ㆍ Nginx, Tomcat, Zabbix, Mysql, MSSQL 등 2) 우대사항     ㆍ클라우드 시스템 운영 업무 유경험자(AWS)     ㆍ대용량(다량)시스템 운영 유경험자     ㆍ(호스팅 업체 운영경력)     ㆍ관련 자격증 보유     ㆍ머신러닝, 딥러닝 경험자 우대 5. 머신러닝 / 딥러닝 / 빅데이터 전문가 (2인) 1) 담당업무     ㆍ AI 알고리즘 개발     ㆍ 학습데이터 적재 및 가공을 위한 시스템 개발 2) 자격요건     ㆍ경력 2년 이상     ㆍPython, Java 등을 사용한 개발경력     ㆍ머신러닝/딥러닝 모델을 서비스에 적용하고 운영해본 경험이 있는 분 3) 우대사항     ㆍTensorflow 등의 딥러닝 프레임워크 경험자     ㆍ딥러닝 소프트웨어 개발 및 배포 경험자     ㆍ대규모 서버로 구성된 시스템을 개발 및 운영 경험이 있는 분     ㆍRDBMS 기반 개발 경험

1 명





근무조건
고용형태: 정규직급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
16,고큐바테크놀로지(주),빅데이터·AI(인공지능),,경력3년↑,딥러닝," 서울특별시 중구 한강대로 416 5층 (남대문로5가,서울스퀘어) ","


인공지능(AI), 비전인식 외 경력  채용 - 인크루트 채용
















우리 회사를 한 줄로 표현해주세요
고큐바테크놀로지(주)
인공지능(AI), 비전인식 외 경력  채용


우리 회사에 대해 4줄 이내로 소개해주세요


모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




AI 연구원

[담당업무]- 비전센싱 AI 연구원- 자사 서비스 개발 구현 및 업데이트- 데이터 처리 및 분석- 비전센싱 데이터 처리 연구 및 개발- 딥러닝 알고리즘 성능 향상 및 최적화- AI 알고리즘을 통한 응용 개발[근무부서 및 직급/직책]근무부서: AI 연구소


[자격요건]경력사항: 경력(3년 이상 )학력사항: 대학교(4년)졸업[우대사항]전공계열: 공학계열우대사항: 석박사

00 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: AI 연구소인근지하철역: 서울1호선 서울역 (9번 출구에서 100m이내)급여조건: 월급 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
2024-01-31 (수) 23시59분까지
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
17,(주)카이어,"영업기획, 기술영업",,경력3~10년,딥러닝," 서울특별시 서초구 매헌로8길 39 E동 302호 (양재동,희경빌딩) ","


사업개발 (Business Development) 정규직 - 인크루트 채용















㈜카이어
사업개발 (Business Development)정규직




모집부문 및 자격요건






담당업무
자격요건
인원





[담당업무]• 국내외 시장 내 경쟁사 및 Value Chain 분석을 통한 타겟 시장 발굴 및 타당성 분석• 국내외 시장 진입(Go-To-Market) 전략 수립• 딥러닝 B2B, B2G 솔루션 고객사 발굴, 사업기획, 사업개발• 공공 및 민간 대상 사업 기획, 제안 및 사업 관리 (Project Management)• 전략적 파트너쉽 제휴• 딥러닝 솔루션 가격 정책 개발[근무부서 및 직급/직책]근무부서: 전략기획실직급/직책: 팀원, 팀장


[자격요건]경력사항: 경력(3년 이상 10년 이하)학력사항: 대학(2,3년)졸업 이상직무기술: IT컨설팅, 사업개발, 사업기획, 사업전략, 기술영업기타: • 경영, 경제 및 유관 전공 학사 이상• 3년 이상의 유관 경력 (IT 사업개발, 기술영업 등)• 기본적인 재무지식과 데이터 분석 역량• 딥러닝 시장 이해, 조사 및 분석 역량• 고객의 기술적 요구사항, 필요 기능, 제품 정보 및 개발 프로세스 등에 대한 요구사항 분석 역량• 사업 기획서, 제안서, 보고서 등의 문서를 논리적으로 작성할 수 있는 역량• 내외부 주요 이해관계자 대상의 프레젠테이션 문서 작성, 발표 및 커뮤니케이션 역량• 주위 동료와 오픈 마인드로 의사소통하며 문제를 해결할 수 있는 협업 역량• 논리적으로 문제의 원인을 찾고, 끈기 있게 문제를 끝까지 해결하는 문제해결 역량• 새로운 지식을 빠르게 습득할 수 있는 학습 역량• 데이터를 기초로 한 성과 지표 수립 및 관리 역량• 스스로의 업무 Standard 를 높게 설정하고, 본인을 자기관리할 수 있는 프로의식우대사항• 유관 전공 석박사 학위 보유자• 영어 능통자• 역동적이고 변화를 두려워하지 않는 도전 의식을 가지신 분[우대사항]전공계열: 상경계열, 공학계열외국어: 영어 회화가능,독해가능,작문가능, TOEIC 900점

0 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: 전략기획실인근전철역: 신분당선 양재시민의숲 (5번 출구에서 1km이내)급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 2차면접진행 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
18,(주)휴먼디지탈,"웹프로그래머, 응용프로그래머, ERP·시스템분석·설계",,경력10년↑,딥러닝," 서울특별시 서초구 사임당로 28 525호(서초동,청호나이스) ","


E-commerce 플랫폼 개발리더(CTO) - 인크루트 채용













E-commerce 플랫폼 개발리더(CTO)

모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




개발리더(CTO)

[담당업무]* 자사 플랫폼 및 E-commerce 어플리케이션 개발리더* 자사 신규 서비스 구현을 위한 개발 전략 수립* 내부 개발팀 리딩 및 레벨업을 위한 개발 문화 도입* 개발(기획)실 인프라 및 조직운영* 기술 로드맵 제시* 내부 R&D 수행을 위한 넓은 지식 보유(머신러닝/딥러닝기반 추천시스템)


[자격요건]경력사항: 경력(10년 이상 )학력사항: 대학교(4년)졸업 이상







근무조건
고용형태: 정규직급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
19,주식회사 경연파트너스,빅데이터·AI(인공지능),,경력1~10년,딥러닝," 서울특별시 금천구 디지털로9길 46 (가산동,이앤씨드림타워7차) ","


AI 기반 반도체 모델링 스타트업 AI Research Scientist 모집 - 인크루트 채용













[담당업무]- 반도체를 이해하는 딥러닝 기술 개발[자격요건]- (필수) AI관련 전공 석사 이상 (박사 선호)/ 타분야 전공 석박사 인력 중 AI 연구 경력 1년 이상- (필수) 연구수행 및 기술 논문 작성 경험 (전략적 논문 작성 및 발표 가능)- 특정 domain에 대한 전문 지식 보다는 딥러닝에 대한 본질적 이해와 응용능력, communication 능력- 반도체 및 회로에 관한 지식은 없어도 무방[관심분야]- Deep learning theory, meta learning, multi-task learning, (symbolic) regression, HPO, NAS






"
20,(주)헤드헌트,빅데이터·AI(인공지능),,경력5년↑,딥러닝, 서울특별시 성동구 상원12길 30 서울숲 동진아이티타워 609호(성수동1가) ,"


AI엔지니어(ML/DL) - 인크루트 채용
















(주)헤드헌트
AI엔지니어(ML/DL)




모집부문 및 자격요건






담당업무
자격요건
인원





[담당업무]* 역할- 서비스의 핵심인 자동 영문 교정 알고리즘의 성능을 향상시키고, 이 알고리즘이 서비스 웹사이트 pcanpi.com 에서 원활하게 구동될 수 있도록 개발하는 역할- 자연어 처리에 관련된 Machine Learning 및 Deep Learning 모델 설계 및 테스트- 최신 연구 논문에 대한 리서치 및 아이디어 토론- 현재 회사에서 사용중인 딥러닝 모델의 개선방안 연구- 시각화 툴을 사용한 효율적인 분석 결과 공유* 필요 역량- Python을 이용한 개발 경험 (pytorch, tensorflow, scikit-learn 등)- 문제에 대한 고민과 토론을 즐기시는 분- 자연어 처리에 대한 관심과 이해가 있으신 분- 기본적인 데이터 전처리에 대한 이해와 경험이 있으신 분- 대용량의 데이터에 대한 최적화를 고민해보신 분


[자격요건]- 데이터와 소프트웨어 기술이 사람간의 의사소통을 더 원활하게 도울 수 있다고 믿는 분- 미래의 성장과 성공을 위한 계산된 위험을 두려워하지 않는 분- 자연어 처리 기술 개발과 활용에 대한 관심 및 경험이 많은 분- 새로운 것을 배우고 성장하고자 하는 욕구가 강한 분- 말보다는 결과물을 통해 동료의 신뢰를 쌓으실 분- 상사와 동료의 의견이 본인의 의견과 다를 경우 근거를 가지고 자신의 주장을 이야기할 수 있는 분- 영어 의사 소통 능력 향상에 관심이 있는 분

1 명





근무조건
고용형태: 정규직급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템, 이메일접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
21,서치넷,웹프로그래머,,경력5~15년,딥러닝, 서울특별시 강남구 선릉로 529 함양재빌딩 5014호(역삼동) ,"


[AI분야 코스닥상장사] 프론트엔드개발 경력자 채용 - 인크루트 채용















AI분야 코스닥상장사
프론트엔드개발 경력자 채용



모집부문 및 자격요건






모집부문
담당업무
자격요건
인원




프론트엔드개발

[담당업무]- 컴퓨터 비전 딥러닝 엔진을 활용한 어플리케이션을 개발합니다.- Native 라이브러리 및 코드를 연동시키고 이를 활용해 AI 솔루션을 개발하게 됩니다.- 반응형 웹 개발, 프론트엔드 성능을 높이기 위해 지속적으로 연구하고 개발합니다.[근무부서 및 직급/직책]근무부서: 상품개발본부(판교) / DS사업본부(강남)


[자격요건]경력사항: 경력(5년 이상 15년 이하)학력사항: 대학교(4년)졸업 이상직무기술: javascript, vue.js, html/css

00 명





근무조건
고용형태: 정규직근무부서: 상품개발본부(판교) / DS사업본부(강남)급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격


접수방법
채용시
접수방법: 이메일, 전화/휴대폰접수양식: 자사양식, 자유양식


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.











"
22,(주)엑사로보틱스,응용프로그래머,,신입/경력(연차무관),딥러닝," 서울특별시 강남구 테헤란로 406 B동 203호 (대치동,샹제리제센터) ","


(주)엑사로보틱스 로봇 소프트웨어 개발 외 신입/경력 정규직 채용 - 인크루트 채용















(주)엑사로보틱스
로봇 소프트웨어 개발 외 신입/경력 정규직 채용



모집부문 및 자격요건






모집부문
담당업무
자격요건
인원




기술연구팀(시스템 설계/제어 개발, 딥러닝, 로봇기구설계, sw엔지니어, SlAM & Navigation Engineer)

[담당업무]업무 부문별 모집 채용시스템 설계/제어 개발	ㆍ로봇 시스템 설계/제어ㆍ모터 제어ㆍ구동부, 제어부, 센서부 SISLAM & Navigation EngineerㆍSLAM 알고리즘 개발ㆍ위치 측위 알고리즘 개발ㆍ경로 생성 알고리즘 개발ㆍ실내 자율주행 로봇 소프트웨어 개발Robotics Perception Engineerㆍ실내외 자율 주행 로봇의 주행로 및 장애물 인식을 위한 딥러닝 기반 Semantic segmentation, Object detection 기술 연구기구 개발ㆍ모빌리티 로봇 기구 설계/ 개발SW 엔지니어ㆍ모빌리티 로봇 SW 개발[근무부서 및 직급/직책]근무부서: 기술연구팀직급/직책: 연구원


[자격요건]경력사항: 신입, 경력(연차무관)학력사항: 대학교(4년)졸업 이상직무기술: 로봇제어, 로봇설계, 알고리즘개발, 소프트웨어개발, 로봇기구설계학력 : ㆍ기계공학계열, 전기, 전자, 제어, 로봇, 소프트웨어 공학 관련 학과의 학위(학사/석사/박사) 소지자경력 : ㆍ로봇 SI 또는 모터제어, 전자회로 관련업종 경력 3년 이상ㆍ로봇(기계 계열) 개발 경력 3년 이상ㆍ3D 설계 가능(Pro-E)ㆍSoftware Engineer 3년 이상 경력ㆍC++개발 경력자 (C, Python 등 다양한 언어 지식보유자)ㆍArchitect & Design SoftwareㆍEmbedded Software개발 경력자ㆍ다양한 언어 기반의 실무 지식(경험) 보유자우대사항 :ㆍComputer vision, Image processing, Machine learning 등 관련 기술에 대한 이해ㆍ멀티 카메라 및 이종 센서 사용 경험ㆍ딥러닝 사용 경험ㆍROS / ROS 2 개발 경험ㆍLocalization 및 Path Planning 관련 개발 유경험자ㆍVisual Odometry & SLAM 관련 개발 유경험자ㆍROS / ROS2 개발 유경험자ㆍModern C++ 프로그래밍 개발 유경험자

0 명





근무조건
고용형태: 정규직(수습기간2개월)근무부서: 기술연구팀급여조건: 면접 후 결정 및 조율 가능근무알시: 주 5일(월~금) 09:30~18:30


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 2차면접진행 > 최종합격추가 제출서류: 이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.











"
23,(주)유니코써치,ERP·시스템분석·설계,,경력4~10년,딥러닝, 경기도 시흥시 뒷방울길 101 (정왕동) ,"


[유명증권기업] 데이터분석 전문가 - 인크루트 채용
















우리 회사를 한 줄로 표현해주세요
(주)유니코써치
[유명증권기업] 데이터분석 전문가 


우리 회사에 대해 4줄 이내로 소개해주세요


모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




데이터분석가[담당업무]전사 데이터 분석 과제 기획/발굴을 통한 Biz Insight 도출. 머신러닝/딥러닝 등을 활용한 모델 구축 및 고도화. 기존 업무 프로세스 개선 및 신규지표 개발자격요건  데이터 분석 기획 및 협업 경험. 다양한 분석 모델링 경험- 우대사항. 증권 및 금융권 데이터 분석 업무 경험. 데이터 분석 활용 스킬(상급). 빅데이터 분석 플랫폼을 활용한 분석 모델링 경험. 시각화툴(Tableau)을 활용한 데이터 시각화 경험[자격요건]경력사항: 경력(4년 이상 10년 이하)학력사항: 대학교(4년)졸업 이상0 명Data  anaylst

[담당업무]전사 데이터 분석 과제 기획/발굴을 통한 Biz Insight 도출. 머신러닝/딥러닝 등을 활용한 모델 구축 및 고도화. 기존 업무 프로세스 개선 및 신규지표 개발자격요건  데이터 분석 기획 및 협업 경험. 다양한 분석 모델링 경험- 우대사항. 증권 및 금융권 데이터 분석 업무 경험. 데이터 분석 활용 스킬(상급). 빅데이터 분석 플랫폼을 활용한 분석 모델링 경험. 시각화툴(Tableau)을 활용한 데이터 시각화 경험


[자격요건]경력사항: 경력(4년 이상 10년 이하)학력사항: 대학교(4년)졸업 이상

0 명





근무조건
고용형태: 계약직(무기계약)급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류국문 경력 기술서


접수방법
2023-02-28 (화) 23시59분까지
접수방법: 이메일접수양식: 자유양식


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
